iter	Passed	Remaining
321	561	1182
322	562	1178
323	563	1175
324	564	1171
325	565	1168
326	565	1164
327	568	1164
328	569	1160
329	570	1157
330	570	1153
331	571	1150
332	572	1146
333	573	1143
334	574	1139
335	574	1136
336	575	1132
337	576	1130
338	577	1126
339	578	1123
340	581	1123
341	583	1121
342	583	1118
343	584	1115
344	585	1111
345	586	1108
346	587	1104
347	588	1102
348	589	1099
349	590	1097
350	591	1094
351	593	1092
352	594	1089
353	595	1086
354	596	1083
355	596	1079
356	597	1076
357	598	1073
358	599	1070
359	600	1067
360	601	1064
361	602	1061
362	603	1058
363	603	1055
364	604	1052
365	606	1050
366	607	1047
367	608	1044
368	609	1041
369	609	1038
370	610	1035
371	611	1032
372	612	1029
373	613	1026
374	614	1024
375	615	1021
376	616	1018
377	617	1015
378	618	1013
379	621	1014
380	622	1011
381	623	1008
382	624	1005
383	625	1002
384	626	1000
385	627	997
386	628	995
387	629	992
388	630	989
389	631	987
390	633	986
391	634	984
392	635	981
393	636	978
394	637	976
395	638	973
396	639	970
397	640	969
398	641	966
399	642	963
400	643	960
401	644	958
402	645	956
403	646	954
404	647	951
405	648	948
406	649	946
407	650	943
408	650	940
409	651	937
410	653	937
411	655	934
412	656	932
413	658	932
414	660	930
415	661	928
416	662	925
417	663	923
418	663	920
419	664	918
420	665	915
421	666	913
422	667	910
423	668	908
424	669	905
425	672	905
426	673	904
427	674	901
428	675	898
429	676	896
430	677	893
431	678	891
432	679	889
433	680	886
434	680	884
435	681	881
436	682	878
437	682	876
438	683	874
439	686	873
440	687	871
441	688	868
442	689	866
443	689	863
444	690	861
445	691	859
446	692	856
447	693	854
448	694	852
449	695	849
450	696	847
451	696	844
452	699	844
453	700	842
454	701	839
455	701	837
456	702	834
457	703	832
458	704	830
459	705	827
460	706	825
461	707	823
462	707	821
463	708	818
464	709	816
465	710	814
466	714	814
